"Date","Time","Users"
"6/25/23","05:00 PM","1809"
"6/25/23","06:00 PM","1732"
"6/25/23","07:00 PM","1792"
"6/25/23","08:00 PM","2034"
"6/25/23","10:00 PM","1829"
"6/25/23","11:00 PM","1450"
"6/26/23","12:00 AM","1366"
"6/26/23","01:00 AM","1316"
"6/26/23","02:00 AM","1237"
"6/26/23","03:00 AM","1170"
"6/26/23","04:00 AM","1150"
"6/26/23","05:00 AM","1165"
"6/26/23","06:00 AM","1390"
"6/26/23","07:00 AM","2343"
"6/26/23","08:00 AM","4325"
"6/26/23","09:00 AM","5511"
"6/26/23","10:00 AM","5894"
"6/26/23","11:00 AM","5803"
"6/26/23","12:00 PM","5850"
"6/26/23","01:00 PM","5846"
"6/26/23","02:00 PM","5819"
"6/26/23","03:00 PM","5626"
"6/26/23","04:00 PM","5003"
"6/26/23","05:00 PM","4181"
"6/26/23","06:00 PM","3526"
"6/26/23","07:00 PM","3052"
"6/26/23","08:00 PM","2850"
"6/26/23","09:00 PM","2603"
"6/26/23","10:00 PM","2267"
"6/26/23","11:00 PM","1745"
"6/27/23","12:00 AM","1586"
"6/27/23","01:00 AM","1474"
"6/27/23","02:00 AM","1367"
"6/27/23","03:00 AM","1262"
"6/27/23","04:00 AM","1245"
"6/27/23","05:00 AM","1263"
"6/27/23","06:00 AM","1475"
"6/27/23","07:00 AM","2426"
"6/27/23","08:00 AM","4459"
"6/27/23","09:00 AM","5728"
"6/27/23","10:00 AM","6063"
"6/27/23","11:00 AM","5963"
"6/27/23","12:00 PM","5989"
"6/27/23","01:00 PM","5975"
"6/27/23","02:00 PM","5918"
"6/27/23","03:00 PM","5726"
"6/27/23","04:00 PM","5116"
"6/27/23","05:00 PM","4292"
"6/27/23","06:00 PM","3619"
"6/27/23","07:00 PM","3112"
"6/27/23","08:00 PM","2876"
"6/27/23","09:00 PM","2631"
"6/27/23","10:00 PM","2268"
"6/27/23","11:00 PM","1726"
"6/28/23","12:00 AM","1586"
"6/28/23","01:00 AM","1426"
"6/28/23","02:00 AM","1245"
"6/28/23","03:00 AM","1244"
"6/28/23","04:00 AM","1215"
"6/28/23","05:00 AM","1181"
"6/28/23","06:00 AM","1474"
"6/28/23","07:00 AM","2433"
"6/28/23","08:00 AM","4416"
"6/28/23","09:00 AM","5636"
"6/28/23","10:00 AM","5940"
"6/28/23","11:00 AM","5876"
"6/28/23","12:00 PM","4607"
"6/28/23","01:00 PM","5474"
"6/28/23","02:00 PM","5619"
"6/28/23","03:00 PM","5447"
"6/28/23","04:00 PM","4933"
"6/28/23","05:00 PM","4089"
"6/28/23","06:00 PM","3457"
"6/28/23","07:00 PM","3010"
"6/28/23","08:00 PM","2128"
"6/28/23","09:00 PM","1626"
"6/28/23","10:00 PM","1694"
"6/28/23","11:00 PM","1669"
"6/29/23","12:00 AM","1584"
"6/29/23","01:00 AM","1483"
"6/29/23","02:00 AM","1401"
"6/29/23","03:00 AM","1295"
"6/29/23","04:00 AM","1264"
"6/29/23","05:00 AM","1271"
"6/29/23","06:00 AM","1501"
"6/29/23","07:00 AM","2446"
"6/29/23","08:00 AM","4471"
"6/29/23","09:00 AM","5586"
"6/29/23","10:00 AM","5881"
"6/29/23","11:00 AM","5728"
"6/29/23","12:00 PM","5692"
"6/29/23","01:00 PM","5700"
"6/29/23","02:00 PM","5612"
"6/29/23","03:00 PM","5363"
"6/29/23","04:00 PM","4796"
"6/29/23","05:00 PM","4025"
"6/29/23","06:00 PM","3397"
"6/29/23","07:00 PM","2925"
"6/29/23","08:00 PM","2729"
"6/29/23","09:00 PM","2511"
"6/29/23","10:00 PM","2182"
"6/29/23","11:00 PM","1726"
"6/30/23","12:00 AM","1628"
"6/30/23","01:00 AM","1543"
"6/30/23","02:00 AM","1439"
"6/30/23","03:00 AM","1321"
"6/30/23","04:00 AM","1272"
"6/30/23","05:00 AM","1279"
"6/30/23","06:00 AM","1461"
"6/30/23","07:00 AM","2358"
"6/30/23","08:00 AM","4146"
"6/30/23","09:00 AM","5239"
"6/30/23","10:00 AM","5279"
"6/30/23","11:00 AM","5257"
"6/30/23","12:00 PM","5278"
"6/30/23","01:00 PM","5286"
"6/30/23","02:00 PM","5125"
"6/30/23","03:00 PM","4862"
"6/30/23","04:00 PM","4273"
"6/30/23","05:00 PM","3562"
"6/30/23","06:00 PM","2957"
"6/30/23","07:00 PM","2540"
"6/30/23","08:00 PM","2470"
"6/30/23","09:00 PM","2280"
"6/30/23","10:00 PM","2040"
"6/30/23","11:00 PM","1580"
